22	1:249	2:6	3:19	4:18	5:7	6:32	7:18	8:249	9:6	10:19	11:21	12:16	13:0	14:23
22	1:249	2:6	3:19	4:4	5:16	6:23	7:18	8:249	9:6	10:19	11:32	12:1	13:25	14:19
1	1:179	2:5	3:18	4:4	5:16	6:18	7:18	8:179	9:5	10:18	11:4	12:16	13:15	14:32
1	1:217	2:6	3:19	4:19	5:23	6:32	7:1	8:217	9:6	10:19	11:0	12:32	13:4	14:16
8	1:258	2:6	3:19	4:20	5:25	6:18	7:32	8:7	9:4	10:18	11:32	12:25	13:4	14:4
15	1:144	2:5	3:19	4:18	5:25	6:13	7:18	8:144	9:5	10:19	11:18	12:3	13:13	14:18
1	1:18	2:4	3:16	4:30	5:4	6:25	7:32	8:18	9:4	10:18	11:30	12:18	13:25	14:32
1	1:258	2:6	3:19	4:16	5:25	6:10	7:16	8:258	9:5	10:13	11:23	12:19	13:7	14:18
1	1:258	2:6	3:19	4:10	5:16	6:32	7:6	8:258	9:6	10:19	11:32	12:1	13:13	14:7
0	1:166	2:3	3:19	4:25	5:0	6:25	7:18	8:166	9:3	10:19	11:32	12:23	13:25	14:18
39	1:166	2:3	3:19	4:25	5:0	6:25	7:18	8:166	9:3	10:19	11:32	12:23	13:25	14:18
1	1:168	2:6	3:19	4:-1	5:-1	6:4	7:16	8:168	9:5	10:19	11:18	12:25	13:0	14:32
8	1:258	2:4	3:19	4:18	5:25	6:20	7:0	8:8	9:4	10:18	11:18	12:32	13:4	14:3
8	1:258	2:6	3:19	4:-1	5:-1	6:13	7:4	8:8	9:4	10:18	11:0	12:32	13:4	14:3
1	1:258	2:0	3:19	4:-1	5:-1	6:19	7:18	8:258	9:6	10:19	11:19	12:30	13:18	14:7
1	1:30	2:5	3:18	4:-1	5:-1	6:18	7:4	8:30	9:5	10:18	11:18	12:4	13:18	14:4
24	1:160	2:6	3:19	4:18	5:18	6:0	7:32	8:42	9:0	10:19	11:19	12:25	13:13	14:18
14	1:196	2:6	3:19	4:-1	5:-1	6:18	7:32	8:196	9:5	10:19	11:18	12:7	13:18	14:18
6	1:173	2:6	3:19	4:32	5:32	6:18	7:0	8:16	9:4	10:18	11:23	12:32	13:27	14:-1
0	1:110	2:5	3:19	4:25	5:0	6:0	7:32	8:102	9:4	10:19	11:0	12:32	13:18	14:21
22	1:110	2:5	3:19	4:25	5:0	6:0	7:32	8:102	9:4	10:19	11:0	12:32	13:18	14:21
0	1:110	2:4	3:19	4:18	5:30	6:13	7:18	8:102	9:5	10:19	11:18	12:32	13:18	14:32
22	1:110	2:4	3:19	4:18	5:30	6:13	7:18	8:102	9:5	10:19	11:18	12:32	13:18	14:32
15	1:39	2:4	3:18	4:-1	5:-1	6:21	7:16	8:39	9:4	10:18	11:18	12:32	13:21	14:16
22	1:105	2:5	3:19	4:4	5:16	6:13	7:18	8:105	9:5	10:19	11:4	12:16	13:19	14:23
1	1:18	2:4	3:4	4:18	5:32	6:18	7:25	8:18	9:4	10:4	11:18	12:32	13:16	14:25
1	1:18	2:4	3:4	4:18	5:32	6:18	7:25	8:18	9:4	10:4	11:18	12:32	13:16	14:25
1	1:26	2:5	3:19	4:32	5:25	6:0	7:23	8:26	9:5	10:19	11:32	12:1	13:18	14:18
30	1:93	2:5	3:19	4:18	5:25	6:32	7:1	8:90	9:5	10:19	11:25	12:23	13:18	14:0
6	1:173	2:5	3:19	4:-1	5:20	6:23	7:19	8:16	9:4	10:18	11:4	12:16	13:0	14:23
0	1:166	2:3	3:19	4:30	5:32	6:29	7:6	8:166	9:3	10:19	11:0	12:32	13:19	14:0
39	1:166	2:3	3:19	4:30	5:32	6:29	7:6	8:166	9:3	10:19	11:0	12:32	13:19	14:0
14	1:196	2:6	3:19	4:25	5:25	6:10	7:18	8:196	9:6	10:19	11:32	12:25	13:13	14:10
14	1:196	2:6	3:19	4:18	5:25	6:13	7:10	8:196	9:5	10:19	11:18	12:0	13:18	14:7
1	1:172	2:4	3:19	4:32	5:4	6:25	7:18	8:172	9:4	10:19	11:18	12:30	13:18	14:-1
1	1:172	2:4	3:19	4:32	5:4	6:25	7:32	8:172	9:4	10:19	11:23	12:20	13:18	14:-1
1	1:172	2:2	3:19	4:10	5:16	6:18	7:0	8:172	9:4	10:19	11:32	12:25	13:18	14:18
1	1:36	2:5	3:18	4:15	5:25	6:0	7:32	8:36	9:4	10:18	11:32	12:25	13:21	14:16
1	1:258	2:6	3:19	4:25	5:23	6:18	7:18	8:258	9:6	10:19	11:18	12:25	13:0	14:32
0	1:166	2:3	3:19	4:18	5:23	6:0	7:23	8:166	9:3	10:19	11:32	12:32	13:18	14:7
39	1:166	2:3	3:19	4:18	5:23	6:0	7:23	8:166	9:3	10:19	11:32	12:32	13:18	14:7
15	1:39	2:4	3:18	4:4	5:25	6:4	7:16	8:39	9:5	10:18	11:30	12:20	13:18	14:0
1	1:14	2:4	3:16	4:7	5:4	6:18	7:25	8:14	9:4	10:16	11:25	12:4	13:29	14:18
1	1:14	2:4	3:16	4:25	5:4	6:29	7:18	8:14	9:4	10:16	11:25	12:4	13:18	14:25
1	1:258	2:6	3:19	4:0	5:20	6:7	7:18	8:258	9:1	10:19	11:0	12:32	13:7	14:18
1	1:258	2:6	3:19	4:32	5:25	6:18	7:32	8:258	9:6	10:18	11:4	12:16	13:19	14:12
22	1:111	2:4	3:19	4:4	5:16	6:18	7:18	8:102	9:5	10:19	11:4	12:16	13:18	14:18
0	1:59	2:4	3:19	4:15	5:25	6:20	7:18	8:59	9:4	10:18	11:18	12:25	13:20	14:19
35	1:199	2:5	3:19	4:0	5:23	6:25	7:18	8:196	9:5	10:19	11:0	12:32	13:18	14:18
1	1:73	2:3	3:19	4:20	5:23	6:18	7:32	8:73	9:3	10:19	11:32	12:32	13:18	14:19
0	1:59	2:4	3:19	4:-1	5:-1	6:20	7:20	8:59	9:5	10:18	11:18	12:25	13:19	14:18
0	1:110	2:4	3:19	4:32	5:25	6:13	7:18	8:102	9:5	10:19	11:4	12:16	13:18	14:32
22	1:110	2:4	3:19	4:32	5:25	6:13	7:18	8:102	9:5	10:19	11:4	12:16	13:18	14:32
1	1:18	2:4	3:16	4:32	5:4	6:25	7:13	8:18	9:4	10:16	11:32	12:4	13:25	14:3
6	1:112	2:5	3:18	4:-1	5:-1	6:0	7:32	8:169	9:3	10:18	11:1	12:13	13:18	14:18
38	1:87	2:4	3:19	4:0	5:23	6:25	7:18	8:107	9:4	10:18	11:18	12:25	13:11	14:18
1	1:258	2:6	3:19	4:30	5:20	6:18	7:32	8:258	9:6	10:19	11:0	12:30	13:13	14:18
15	1:247	2:6	3:19	4:-1	5:20	6:0	7:32	8:247	9:6	10:19	11:18	12:30	13:32	14:6
15	1:247	2:6	3:19	4:-1	5:23	6:0	7:29	8:247	9:6	10:19	11:13	12:7	13:18	14:18
15	1:142	2:5	3:19	4:-1	5:20	6:0	7:32	8:142	9:5	10:19	11:18	12:23	13:13	14:7
15	1:226	2:0	3:18	4:18	5:25	6:18	7:19	8:226	9:2	10:18	11:32	12:25	13:0	14:32
15	1:219	2:5	3:19	4:18	5:25	6:0	7:30	8:219	9:4	10:19	11:25	12:0	13:4	14:0
15	1:219	2:4	3:19	4:25	5:0	6:4	7:0	8:219	9:6	10:19	11:4	12:16	13:18	14:27
15	1:219	2:6	3:19	4:4	5:16	6:18	7:27	8:219	9:5	10:19	11:27	12:25	13:4	14:18
0	1:166	2:3	3:19	4:1	5:25	6:18	7:0	8:166	9:3	10:19	11:18	12:25	13:13	14:18
39	1:166	2:3	3:19	4:1	5:25	6:18	7:0	8:166	9:3	10:19	11:18	12:25	13:13	14:18
0	1:166	2:3	3:19	4:18	5:0	6:7	7:18	8:166	9:3	10:19	11:25	12:10	13:7	14:18
39	1:166	2:3	3:19	4:18	5:0	6:7	7:18	8:166	9:3	10:19	11:25	12:10	13:7	14:18
8	1:258	2:6	3:19	4:18	5:25	6:19	7:4	8:12	9:4	10:19	11:19	12:19	13:4	14:16
8	1:258	2:6	3:19	4:-1	5:20	6:23	7:19	8:9	9:2	10:19	11:19	12:23	13:32	14:4
15	1:247	2:6	3:19	4:-1	5:13	6:18	7:30	8:247	9:6	10:19	11:25	12:13	13:18	14:0
0	1:110	2:4	3:19	4:4	5:16	6:32	7:4	8:102	9:5	10:19	11:4	12:16	13:18	14:32
22	1:110	2:4	3:19	4:4	5:16	6:32	7:4	8:102	9:5	10:19	11:4	12:16	13:18	14:32
1	1:108	2:5	3:19	4:-1	5:25	6:18	7:18	8:108	9:5	10:19	11:0	12:25	13:4	14:16
1	1:108	2:5	3:19	4:-1	5:25	6:18	7:18	8:108	9:5	10:19	11:18	12:25	13:4	14:16
15	1:247	2:6	3:19	4:18	5:25	6:7	7:18	8:247	9:6	10:19	11:25	12:25	13:18	14:7
1	1:26	2:4	3:0	4:0	5:32	6:32	7:19	8:26	9:5	10:0	11:29	12:25	13:23	14:19
15	1:247	2:6	3:19	4:20	5:25	6:0	7:32	8:247	9:6	10:19	11:18	12:23	13:3	14:13
0	1:110	2:4	3:4	4:25	5:13	6:19	7:18	8:102	9:5	10:18	11:25	12:18	13:3	14:19
22	1:110	2:4	3:4	4:25	5:13	6:19	7:18	8:102	9:5	10:18	11:25	12:18	13:3	14:19
22	1:111	2:4	3:19	4:18	5:23	6:13	7:18	8:102	9:4	10:19	11:32	12:1	13:18	14:13
1	1:117	2:5	3:32	4:18	5:0	6:32	7:32	8:117	9:5	10:19	11:25	12:20	13:0	14:32
14	1:196	2:6	3:19	4:18	5:23	6:18	7:32	8:196	9:6	10:19	11:32	12:25	13:10	14:18
22	1:60	2:5	3:19	4:-1	5:-1	6:18	7:18	8:59	9:5	10:18	11:25	12:25	13:32	14:4
15	1:61	2:5	3:19	4:19	5:3	6:4	7:18	8:61	9:5	10:19	11:18	12:25	13:4	14:18
35	1:96	2:4	3:19	4:32	5:25	6:15	7:7	8:97	9:5	10:19	11:15	12:25	13:18	14:18
1	1:258	2:6	3:19	4:25	5:23	6:13	7:13	8:258	9:6	10:19	11:18	12:7	13:18	14:19
15	1:247	2:6	3:19	4:20	5:25	6:18	7:0	8:247	9:6	10:19	11:23	12:32	13:3	14:19
22	1:259	2:4	3:18	4:25	5:13	6:4	7:18	8:258	9:6	10:18	11:25	12:18	13:18	14:19
35	1:259	2:4	3:18	4:25	5:13	6:4	7:18	8:258	9:6	10:18	11:25	12:18	13:18	14:19
7	1:258	2:6	3:18	4:25	5:18	6:18	7:19	8:73	9:3	10:32	11:18	12:25	13:23	14:19
6	1:173	2:5	3:19	4:0	5:23	6:19	7:18	8:16	9:4	10:19	11:23	12:19	13:11	14:13
15	1:61	2:5	3:19	4:-1	5:-1	6:0	7:10	8:61	9:5	10:19	11:0	12:32	13:18	14:7
1	1:108	2:5	3:19	4:0	5:32	6:18	7:25	8:108	9:5	10:19	11:4	12:16	13:18	14:32
14	1:196	2:6	3:19	4:30	5:32	6:32	7:18	8:196	9:6	10:19	11:32	12:1	13:30	14:18
6	1:177	2:0	3:18	4:25	5:19	6:4	7:18	8:5	9:5	10:25	11:19	12:18	13:18	14:19
25	1:6	2:4	3:19	4:0	5:30	6:25	7:19	8:6	9:6	10:19	11:19	12:25	13:32	14:32
1	1:236	2:6	3:19	4:-1	5:23	6:22	7:9	8:236	9:6	10:19	11:18	12:3	13:18	14:18
1	1:236	2:6	3:19	4:18	5:25	6:18	7:32	8:236	9:6	10:19	11:25	12:23	13:7	14:18
14	1:196	2:6	3:19	4:18	5:32	6:18	7:4	8:196	9:6	10:19	11:32	12:1	13:7	14:13
8	1:258	2:6	3:19	4:-1	5:20	6:0	7:32	8:9	9:4	10:18	11:0	12:32	13:25	14:19
1	1:108	2:5	3:19	4:16	5:7	6:25	7:0	8:108	9:5	10:19	11:4	12:16	13:0	14:32
24	1:251	2:6	3:19	4:13	5:18	6:23	7:18	8:42	9:0	10:19	11:25	12:23	13:18	14:18
14	1:196	2:5	3:19	4:18	5:7	6:13	7:18	8:196	9:6	10:19	11:25	12:32	13:13	14:10
14	1:196	2:6	3:19	4:32	5:32	6:13	7:10	8:196	9:5	10:19	11:18	12:3	13:0	14:0
14	1:196	2:5	3:19	4:18	5:3	6:0	7:0	8:196	9:6	10:19	11:25	12:32	13:13	14:10
1	1:129	2:6	3:19	4:-1	5:-1	6:0	7:32	8:129	9:6	10:19	11:18	12:25	13:0	14:0
1	1:57	2:3	3:19	4:-1	5:18	6:21	7:18	8:57	9:3	10:19	11:23	12:25	13:21	14:18
1	1:57	2:3	3:19	4:-1	5:18	6:21	7:18	8:57	9:3	10:19	11:23	12:25	13:21	14:18
0	1:166	2:3	3:19	4:0	5:32	6:25	7:0	8:166	9:3	10:19	11:1	12:23	13:32	14:6
39	1:166	2:3	3:19	4:0	5:32	6:25	7:0	8:166	9:3	10:19	11:1	12:23	13:32	14:6
1	1:121	2:6	3:19	4:25	5:18	6:19	7:0	8:121	9:6	10:19	11:18	12:25	13:25	14:0
2	1:64	2:5	3:19	4:18	5:32	6:10	7:18	8:64	9:5	10:18	11:25	12:32	13:18	14:29
2	1:64	2:5	3:19	4:20	5:25	6:18	7:0	8:64	9:5	10:18	11:18	12:25	13:18	14:23
2	1:64	2:5	3:19	4:25	5:32	6:10	7:18	8:64	9:5	10:18	11:25	12:32	13:18	14:13
2	1:64	2:5	3:18	4:25	5:32	6:18	7:13	8:64	9:5	10:18	11:25	12:32	13:18	14:29
1	1:263	2:2	3:19	4:19	5:32	6:18	7:18	8:263	9:5	10:19	11:25	12:0	13:18	14:0
1	1:263	2:6	3:18	4:10	5:16	6:18	7:0	8:263	9:2	10:19	11:25	12:23	13:18	14:32
1	1:178	2:5	3:19	4:18	5:32	6:7	7:25	8:178	9:5	10:19	11:25	12:32	13:13	14:18
1	1:181	2:6	3:19	4:18	5:18	6:32	7:25	8:181	9:6	10:19	11:18	12:18	13:32	14:18
1	1:181	2:6	3:19	4:18	5:18	6:32	7:25	8:181	9:6	10:19	11:18	12:18	13:32	14:18
0	1:166	2:3	3:19	4:0	5:32	6:18	7:25	8:166	9:0	10:19	11:23	12:32	13:18	14:18
39	1:166	2:3	3:19	4:0	5:32	6:18	7:25	8:166	9:0	10:19	11:23	12:32	13:18	14:18
0	1:166	2:0	3:19	4:23	5:32	6:18	7:18	8:166	9:3	10:19	11:0	12:23	13:18	14:32
39	1:166	2:0	3:19	4:23	5:32	6:18	7:18	8:166	9:3	10:19	11:0	12:23	13:18	14:32
0	1:166	2:3	3:19	4:18	5:23	6:18	7:32	8:166	9:3	10:19	11:0	12:32	13:18	14:7
39	1:166	2:3	3:19	4:18	5:23	6:18	7:32	8:166	9:3	10:19	11:0	12:32	13:18	14:7
0	1:166	2:3	3:19	4:18	5:23	6:23	7:32	8:166	9:3	10:19	11:18	12:32	13:18	14:7
39	1:166	2:3	3:19	4:18	5:23	6:23	7:32	8:166	9:3	10:19	11:18	12:32	13:18	14:7
0	1:166	2:3	3:19	4:20	5:23	6:0	7:32	8:166	9:3	10:19	11:18	12:32	13:18	14:25
39	1:166	2:3	3:19	4:20	5:23	6:0	7:32	8:166	9:3	10:19	11:18	12:32	13:18	14:25
0	1:166	2:3	3:19	4:25	5:25	6:18	7:0	8:166	9:3	10:19	11:0	12:23	13:18	14:32
39	1:166	2:3	3:19	4:25	5:25	6:18	7:0	8:166	9:3	10:19	11:0	12:23	13:18	14:32
28	1:176	2:4	3:19	4:32	5:32	6:18	7:15	8:176	9:4	10:19	11:25	12:20	13:18	14:32
0	1:166	2:3	3:19	4:32	5:32	6:18	7:6	8:166	9:3	10:19	11:18	12:25	13:25	14:25
39	1:166	2:3	3:19	4:32	5:32	6:18	7:6	8:166	9:3	10:19	11:18	12:25	13:25	14:25
0	1:166	2:3	3:19	4:18	5:25	6:25	7:25	8:166	9:3	10:19	11:24	12:32	13:18	14:6
39	1:166	2:3	3:19	4:18	5:25	6:25	7:25	8:166	9:3	10:19	11:24	12:32	13:18	14:6
0	1:166	2:3	3:19	4:24	5:32	6:18	7:6	8:166	9:3	10:19	11:32	12:32	13:18	14:18
39	1:166	2:3	3:19	4:24	5:32	6:18	7:6	8:166	9:3	10:19	11:32	12:32	13:18	14:18
0	1:166	2:3	3:19	4:0	5:23	6:18	7:7	8:166	9:3	10:19	11:32	12:32	13:18	14:25
39	1:166	2:3	3:19	4:0	5:23	6:18	7:7	8:166	9:3	10:19	11:32	12:32	13:18	14:25
1	1:155	2:6	3:19	4:15	5:25	6:32	7:25	8:155	9:6	10:19	11:15	12:25	13:0	14:32
15	1:86	2:5	3:18	4:18	5:32	6:6	7:19	8:86	9:5	10:18	11:18	12:32	13:6	14:18
15	1:86	2:5	3:18	4:18	5:32	6:6	7:18	8:86	9:5	10:18	11:0	12:32	13:7	14:18
1	1:155	2:6	3:19	4:15	5:25	6:32	7:25	8:155	9:6	10:19	11:15	12:25	13:0	14:32
15	1:86	2:5	3:18	4:18	5:32	6:6	7:19	8:86	9:5	10:18	11:18	12:32	13:6	14:18
15	1:86	2:5	3:18	4:18	5:32	6:6	7:18	8:86	9:5	10:18	11:0	12:32	13:7	14:18
1	1:99	2:6	3:19	4:32	5:1	6:32	7:18	8:99	9:6	10:32	11:32	12:17	13:3	14:19
1	1:99	2:6	3:19	4:32	5:1	6:32	7:18	8:99	9:6	10:32	11:32	12:17	13:3	14:19
35	1:205	2:6	3:19	4:0	5:25	6:23	7:32	8:233	9:5	10:19	11:32	12:25	13:0	14:32
35	1:205	2:6	3:19	4:0	5:25	6:23	7:32	8:233	9:5	10:19	11:32	12:25	13:0	14:32
0	1:166	2:3	3:19	4:32	5:32	6:13	7:18	8:166	9:3	10:19	11:18	12:32	13:18	14:-1
39	1:166	2:3	3:19	4:32	5:32	6:13	7:18	8:166	9:3	10:19	11:18	12:32	13:18	14:-1
14	1:196	2:5	3:19	4:18	5:23	6:0	7:29	8:196	9:6	10:19	11:25	12:23	13:23	14:19
14	1:196	2:6	3:19	4:25	5:23	6:23	7:19	8:196	9:5	10:19	11:4	12:7	13:13	14:18
40	1:3	2:5	3:19	4:18	5:25	6:25	7:25	8:3	9:5	10:19	11:18	12:32	13:25	14:4
15	1:136	2:6	3:19	4:25	5:0	6:23	7:0	8:137	9:5	10:19	11:15	12:25	13:18	14:18
15	1:72	2:5	3:19	4:-1	5:23	6:32	7:25	8:72	9:5	10:19	11:32	12:32	13:13	14:18
15	1:165	2:5	3:19	4:32	5:6	6:32	7:18	8:165	9:5	10:19	11:18	12:32	13:7	14:18
15	1:165	2:5	3:19	4:32	5:6	6:32	7:18	8:165	9:5	10:19	11:18	12:32	13:7	14:18
16	1:31	2:5	3:19	4:0	5:25	6:23	7:18	8:31	9:5	10:19	11:20	12:15	13:0	14:0
16	1:31	2:5	3:19	4:18	5:25	6:0	7:32	8:31	9:5	10:19	11:25	12:30	13:0	14:32
16	1:31	2:5	3:19	4:25	5:30	6:0	7:32	8:31	9:5	10:19	11:25	12:25	13:23	14:32
1	1:30	2:5	3:32	4:-1	5:23	6:15	7:25	8:30	9:5	10:32	11:2	12:2	13:7	14:18
16	1:31	2:5	3:19	4:15	5:25	6:18	7:18	8:31	9:5	10:18	11:32	12:1	13:23	14:18
16	1:31	2:5	3:18	4:32	5:1	6:23	7:18	8:31	9:5	10:19	11:29	12:25	13:18	14:20
1	1:100	2:4	3:18	4:20	5:21	6:32	7:6	8:100	9:4	10:18	11:20	12:21	13:25	14:19
1	1:100	2:4	3:18	4:4	5:21	6:0	7:0	8:100	9:4	10:18	11:25	12:21	13:32	14:18
1	1:229	2:6	3:19	4:4	5:25	6:25	7:18	8:229	9:6	10:19	11:18	12:18	13:32	14:25
1	1:63	2:6	3:19	4:18	5:30	6:18	7:32	8:63	9:6	10:19	11:18	12:25	13:25	14:32
1	1:73	2:3	3:19	4:16	5:32	6:18	7:25	8:73	9:3	10:19	11:25	12:32	13:18	14:4
1	1:229	2:6	3:19	4:24	5:23	6:7	7:18	8:229	9:6	10:19	11:18	12:25	13:25	14:32
1	1:241	2:1	3:19	4:24	5:23	6:25	7:23	8:241	9:1	10:19	11:25	12:0	13:25	14:24
1	1:128	2:6	3:19	4:24	5:23	6:7	7:18	8:128	9:6	10:19	11:18	12:25	13:25	14:32
1	1:235	2:6	3:19	4:-1	5:-1	6:32	7:25	8:235	9:6	10:19	11:18	12:25	13:32	14:13
35	1:200	2:6	3:19	4:-1	5:18	6:23	7:19	8:242	9:4	10:19	11:19	12:23	13:18	14:0
15	1:224	2:5	3:18	4:18	5:25	6:18	7:32	8:224	9:5	10:19	11:0	12:25	13:0	14:23
19	1:135	2:0	3:19	4:18	5:32	6:18	7:13	8:223	9:2	10:19	11:25	12:0	13:4	14:16
1	1:56	2:4	3:18	4:29	5:25	6:25	7:23	8:56	9:4	10:18	11:29	12:25	13:25	14:25
1	1:238	2:6	3:19	4:-1	5:-1	6:32	7:25	8:238	9:6	10:19	11:0	12:25	13:0	14:32
24	1:155	2:6	3:19	4:32	5:18	6:0	7:32	8:42	9:0	10:19	11:25	12:32	13:18	14:23
14	1:196	2:5	3:19	4:25	5:30	6:18	7:18	8:196	9:5	10:19	11:32	12:1	13:32	14:32
1	1:18	2:4	3:16	4:32	5:4	6:25	7:13	8:18	9:-1	10:4	11:18	12:32	13:16	14:25
15	1:196	2:4	3:19	4:18	5:20	6:18	7:32	8:197	9:5	10:19	11:32	12:25	13:23	14:20
1	1:208	2:6	3:19	4:18	5:18	6:25	7:19	8:208	9:6	10:19	11:19	12:25	13:23	14:18
14	1:196	2:6	3:19	4:18	5:23	6:18	7:32	8:196	9:5	10:19	11:20	12:15	13:0	14:32
1	1:82	2:6	3:19	4:25	5:7	6:25	7:20	8:82	9:6	10:19	11:20	12:25	13:0	14:0
0	1:166	2:4	3:19	4:25	5:23	6:21	7:13	8:166	9:3	10:19	11:18	12:32	13:15	14:25
39	1:166	2:4	3:19	4:25	5:23	6:21	7:13	8:166	9:3	10:19	11:18	12:32	13:15	14:25
0	1:166	2:3	3:19	4:18	5:32	6:15	7:25	8:166	9:3	10:19	11:0	12:23	13:18	14:18
39	1:166	2:3	3:19	4:18	5:32	6:15	7:25	8:166	9:3	10:19	11:0	12:23	13:18	14:18
15	1:77	2:5	3:19	4:20	5:25	6:7	7:19	8:77	9:5	10:19	11:18	12:7	13:18	14:18
15	1:219	2:6	3:19	4:18	5:7	6:18	7:13	8:219	9:5	10:19	11:18	12:23	13:18	14:32
1	1:155	2:6	3:19	4:-1	5:23	6:32	7:25	8:155	9:6	10:19	11:20	12:25	13:32	14:25
21	1:73	2:3	3:19	4:-1	5:-1	6:18	7:15	8:209	9:0	10:19	11:4	12:16	13:18	14:25
1	1:57	2:3	3:19	4:0	5:32	6:18	7:18	8:57	9:3	10:19	11:32	12:26	13:18	14:18
