,rel,E1-0,NE1-0,POS1-0,POS1-2,POS1-1,POS1+1,POS1+2,E2-0,NE2-0,POS2-0,POS2-2,POS2-1,POS2+1,POS2+2
30,14,196,5,19,20,32,13,18,196,6,19,18,7,13,10
31,14,196,6,19,19,25,10,18,196,5,19,32,3,10,18
32,14,196,6,19,15,25,10,18,196,5,19,18,6,13,10
33,14,196,5,19,-1,-1,13,10,196,5,19,32,6,13,18
34,14,196,5,19,-1,32,13,18,196,6,19,18,7,13,10
35,0,166,3,19,25,32,32,19,166,3,19,0,32,18,7
36,39,166,3,19,25,32,32,19,166,3,19,0,32,18,7
37,1,154,6,19,18,18,32,25,154,6,19,18,18,23,19
38,22,116,5,19,20,25,0,0,116,5,18,32,25,32,32
39,22,116,5,18,18,25,0,32,116,5,19,0,25,23,32
40,22,116,5,19,0,25,23,32,116,5,18,20,25,0,32
41,1,41,3,19,18,25,18,30,41,3,19,18,23,18,32
42,1,73,3,19,0,23,32,18,73,3,19,20,32,18,25
43,22,249,6,19,18,7,32,18,249,6,19,21,16,0,23
44,22,249,6,19,4,16,23,18,249,6,19,32,1,25,19
45,1,179,5,18,4,16,18,18,179,5,18,4,16,15,32
46,1,217,6,19,19,23,32,1,217,6,19,0,32,4,16
47,8,258,6,19,20,25,18,32,7,4,18,32,25,4,4
48,15,144,5,19,18,25,13,18,144,5,19,18,3,13,18
49,1,18,4,16,30,4,25,32,18,4,18,30,18,25,32
50,1,258,6,19,16,25,10,16,258,5,13,23,19,7,18
51,1,258,6,19,10,16,32,6,258,6,19,32,1,13,7
52,0,166,3,19,25,0,25,18,166,3,19,32,23,25,18
53,39,166,3,19,25,0,25,18,166,3,19,32,23,25,18
54,1,168,6,19,-1,-1,4,16,168,5,19,18,25,0,32
55,8,258,4,19,18,25,20,0,8,4,18,18,32,4,3
56,8,258,6,19,-1,-1,13,4,8,4,18,0,32,4,3
57,1,258,0,19,-1,-1,19,18,258,6,19,19,30,18,7
58,1,30,5,18,-1,-1,18,4,30,5,18,18,4,18,4
59,24,160,6,19,18,18,0,32,42,0,19,19,25,13,18
60,14,196,6,19,-1,-1,18,32,196,5,19,18,7,18,18
61,6,173,6,19,32,32,18,0,16,4,18,23,32,27,-1
62,0,110,5,19,25,0,0,32,102,4,19,0,32,18,21
63,22,110,5,19,25,0,0,32,102,4,19,0,32,18,21
64,0,110,4,19,18,30,13,18,102,5,19,18,32,18,32
65,22,110,4,19,18,30,13,18,102,5,19,18,32,18,32
66,15,39,4,18,-1,-1,21,16,39,4,18,18,32,21,16
67,22,105,5,19,4,16,13,18,105,5,19,4,16,19,23
68,1,18,4,4,18,32,18,25,18,4,4,18,32,16,25
69,1,18,4,4,18,32,18,25,18,4,4,18,32,16,25
70,1,26,5,19,32,25,0,23,26,5,19,32,1,18,18
71,30,93,5,19,18,25,32,1,90,5,19,25,23,18,0
72,6,173,5,19,-1,20,23,19,16,4,18,4,16,0,23
73,0,166,3,19,30,32,29,6,166,3,19,0,32,19,0
74,39,166,3,19,30,32,29,6,166,3,19,0,32,19,0
75,14,196,6,19,25,25,10,18,196,6,19,32,25,13,10
76,14,196,6,19,18,25,13,10,196,5,19,18,0,18,7
77,1,172,4,19,32,4,25,18,172,4,19,18,30,18,-1
78,1,172,4,19,32,4,25,32,172,4,19,23,20,18,-1
79,1,172,2,19,10,16,18,0,172,4,19,32,25,18,18
80,1,36,5,18,15,25,0,32,36,4,18,32,25,21,16
81,1,258,6,19,25,23,18,18,258,6,19,18,25,0,32
82,0,166,3,19,18,23,0,23,166,3,19,32,32,18,7
83,39,166,3,19,18,23,0,23,166,3,19,32,32,18,7
84,15,39,4,18,4,25,4,16,39,5,18,30,20,18,0
85,1,14,4,16,7,4,18,25,14,4,16,25,4,29,18
86,1,14,4,16,25,4,29,18,14,4,16,25,4,18,25
87,1,258,6,19,0,20,7,18,258,1,19,0,32,7,18
88,1,258,6,19,32,25,18,32,258,6,18,4,16,19,12
89,22,111,4,19,4,16,18,18,102,5,19,4,16,18,18
90,0,59,4,19,15,25,20,18,59,4,18,18,25,20,19
91,35,199,5,19,0,23,25,18,196,5,19,0,32,18,18
92,1,73,3,19,20,23,18,32,73,3,19,32,32,18,19
93,0,59,4,19,-1,-1,20,20,59,5,18,18,25,19,18
94,0,110,4,19,32,25,13,18,102,5,19,4,16,18,32
95,22,110,4,19,32,25,13,18,102,5,19,4,16,18,32
96,1,18,4,16,32,4,25,13,18,4,16,32,4,25,3
97,6,112,5,18,-1,-1,0,32,169,3,18,1,13,18,18
98,38,87,4,19,0,23,25,18,107,4,18,18,25,11,18
99,1,258,6,19,30,20,18,32,258,6,19,0,30,13,18
100,15,247,6,19,-1,20,0,32,247,6,19,18,30,32,6
101,15,247,6,19,-1,23,0,29,247,6,19,13,7,18,18
102,15,142,5,19,-1,20,0,32,142,5,19,18,23,13,7
103,15,226,0,18,18,25,18,19,226,2,18,32,25,0,32
104,15,219,5,19,18,25,0,30,219,4,19,25,0,4,0
105,15,219,4,19,25,0,4,0,219,6,19,4,16,18,27
106,15,219,6,19,4,16,18,27,219,5,19,27,25,4,18
107,0,166,3,19,1,25,18,0,166,3,19,18,25,13,18
108,39,166,3,19,1,25,18,0,166,3,19,18,25,13,18
109,0,166,3,19,18,0,7,18,166,3,19,25,10,7,18
110,39,166,3,19,18,0,7,18,166,3,19,25,10,7,18
111,8,258,6,19,18,25,19,4,12,4,19,19,19,4,16
112,8,258,6,19,-1,20,23,19,9,2,19,19,23,32,4
113,15,247,6,19,-1,13,18,30,247,6,19,25,13,18,0
114,0,110,4,19,4,16,32,4,102,5,19,4,16,18,32
115,22,110,4,19,4,16,32,4,102,5,19,4,16,18,32
116,1,108,5,19,-1,25,18,18,108,5,19,0,25,4,16
117,1,108,5,19,-1,25,18,18,108,5,19,18,25,4,16
118,15,247,6,19,18,25,7,18,247,6,19,25,25,18,7
119,1,26,4,0,0,32,32,19,26,5,0,29,25,23,19
120,15,247,6,19,20,25,0,32,247,6,19,18,23,3,13
121,0,110,4,4,25,13,19,18,102,5,18,25,18,3,19
122,22,110,4,4,25,13,19,18,102,5,18,25,18,3,19
123,22,111,4,19,18,23,13,18,102,4,19,32,1,18,13
124,1,117,5,32,18,0,32,32,117,5,19,25,20,0,32
125,14,196,6,19,18,23,18,32,196,6,19,32,25,10,18
126,22,60,5,19,-1,-1,18,18,59,5,18,25,25,32,4
127,15,61,5,19,19,3,4,18,61,5,19,18,25,4,18
128,35,96,4,19,32,25,15,7,97,5,19,15,25,18,18
129,1,258,6,19,25,23,13,13,258,6,19,18,7,18,19
130,15,247,6,19,20,25,18,0,247,6,19,23,32,3,19
131,22,259,4,18,25,13,4,18,258,6,18,25,18,18,19
132,35,259,4,18,25,13,4,18,258,6,18,25,18,18,19
133,7,258,6,18,25,18,18,19,73,3,32,18,25,23,19
134,6,173,5,19,0,23,19,18,16,4,19,23,19,11,13
135,15,61,5,19,-1,-1,0,10,61,5,19,0,32,18,7
136,1,108,5,19,0,32,18,25,108,5,19,4,16,18,32
137,14,196,6,19,30,32,32,18,196,6,19,32,1,30,18
138,6,177,0,18,25,19,4,18,5,5,25,19,18,18,19
139,25,6,4,19,0,30,25,19,6,6,19,19,25,32,32
140,1,236,6,19,-1,23,22,9,236,6,19,18,3,18,18
141,1,236,6,19,18,25,18,32,236,6,19,25,23,7,18
142,14,196,6,19,18,32,18,4,196,6,19,32,1,7,13
143,8,258,6,19,-1,20,0,32,9,4,18,0,32,25,19
144,1,108,5,19,16,7,25,0,108,5,19,4,16,0,32
145,24,251,6,19,13,18,23,18,42,0,19,25,23,18,18
146,14,196,5,19,18,7,13,18,196,6,19,25,32,13,10
147,14,196,6,19,32,32,13,10,196,5,19,18,3,0,0
148,14,196,5,19,18,3,0,0,196,6,19,25,32,13,10
149,1,129,6,19,-1,-1,0,32,129,6,19,18,25,0,0
150,1,57,3,19,-1,18,21,18,57,3,19,23,25,21,18
151,1,57,3,19,-1,18,21,18,57,3,19,23,25,21,18
152,0,166,3,19,0,32,25,0,166,3,19,1,23,32,6
153,39,166,3,19,0,32,25,0,166,3,19,1,23,32,6
154,1,121,6,19,25,18,19,0,121,6,19,18,25,25,0
155,2,64,5,19,18,32,10,18,64,5,18,25,32,18,29
156,2,64,5,19,20,25,18,0,64,5,18,18,25,18,23
157,2,64,5,19,25,32,10,18,64,5,18,25,32,18,13
158,2,64,5,18,25,32,18,13,64,5,18,25,32,18,29
159,1,263,2,19,19,32,18,18,263,5,19,25,0,18,0
160,1,263,6,18,10,16,18,0,263,2,19,25,23,18,32
161,1,178,5,19,18,32,7,25,178,5,19,25,32,13,18
162,1,181,6,19,18,18,32,25,181,6,19,18,18,32,18
163,1,181,6,19,18,18,32,25,181,6,19,18,18,32,18
164,0,166,3,19,0,32,18,25,166,0,19,23,32,18,18
165,39,166,3,19,0,32,18,25,166,0,19,23,32,18,18
166,0,166,0,19,23,32,18,18,166,3,19,0,23,18,32
167,39,166,0,19,23,32,18,18,166,3,19,0,23,18,32
168,0,166,3,19,18,23,18,32,166,3,19,0,32,18,7
169,39,166,3,19,18,23,18,32,166,3,19,0,32,18,7
170,0,166,3,19,18,23,23,32,166,3,19,18,32,18,7
171,39,166,3,19,18,23,23,32,166,3,19,18,32,18,7
172,0,166,3,19,20,23,0,32,166,3,19,18,32,18,25
173,39,166,3,19,20,23,0,32,166,3,19,18,32,18,25
174,0,166,3,19,25,25,18,0,166,3,19,0,23,18,32
175,39,166,3,19,25,25,18,0,166,3,19,0,23,18,32
176,28,176,4,19,32,32,18,15,176,4,19,25,20,18,32
177,0,166,3,19,32,32,18,6,166,3,19,18,25,25,25
178,39,166,3,19,32,32,18,6,166,3,19,18,25,25,25
179,0,166,3,19,18,25,25,25,166,3,19,24,32,18,6
180,39,166,3,19,18,25,25,25,166,3,19,24,32,18,6
181,0,166,3,19,24,32,18,6,166,3,19,32,32,18,18
182,39,166,3,19,24,32,18,6,166,3,19,32,32,18,18
183,0,166,3,19,0,23,18,7,166,3,19,32,32,18,25
184,39,166,3,19,0,23,18,7,166,3,19,32,32,18,25
185,1,155,6,19,15,25,32,25,155,6,19,15,25,0,32
186,15,86,5,18,18,32,6,19,86,5,18,18,32,6,18
187,15,86,5,18,18,32,6,18,86,5,18,0,32,7,18
188,1,155,6,19,15,25,32,25,155,6,19,15,25,0,32
189,15,86,5,18,18,32,6,19,86,5,18,18,32,6,18
190,15,86,5,18,18,32,6,18,86,5,18,0,32,7,18
191,1,99,6,19,32,1,32,18,99,6,32,32,17,3,19
192,1,99,6,19,32,1,32,18,99,6,32,32,17,3,19
193,35,205,6,19,0,25,23,32,233,5,19,32,25,0,32
194,35,205,6,19,0,25,23,32,233,5,19,32,25,0,32
195,0,166,3,19,32,32,13,18,166,3,19,18,32,18,-1
196,39,166,3,19,32,32,13,18,166,3,19,18,32,18,-1
197,14,196,5,19,18,23,0,29,196,6,19,25,23,23,19
198,14,196,6,19,25,23,23,19,196,5,19,4,7,13,18
199,40,3,5,19,18,25,25,25,3,5,19,18,32,25,4
200,15,136,6,19,25,0,23,0,137,5,19,15,25,18,18
201,15,72,5,19,-1,23,32,25,72,5,19,32,32,13,18
202,15,165,5,19,32,6,32,18,165,5,19,18,32,7,18
203,15,165,5,19,32,6,32,18,165,5,19,18,32,7,18
204,16,31,5,19,0,25,23,18,31,5,19,20,15,0,0
205,16,31,5,19,18,25,0,32,31,5,19,25,30,0,32
206,16,31,5,19,25,30,0,32,31,5,19,25,25,23,32
207,1,30,5,32,-1,23,15,25,30,5,32,2,2,7,18
208,16,31,5,19,15,25,18,18,31,5,18,32,1,23,18
209,16,31,5,18,32,1,23,18,31,5,19,29,25,18,20
210,1,100,4,18,20,21,32,6,100,4,18,20,21,25,19
211,1,100,4,18,4,21,0,0,100,4,18,25,21,32,18
212,1,229,6,19,4,25,25,18,229,6,19,18,18,32,25
213,1,63,6,19,18,30,18,32,63,6,19,18,25,25,32
214,1,73,3,19,16,32,18,25,73,3,19,25,32,18,4
215,1,229,6,19,24,23,7,18,229,6,19,18,25,25,32
216,1,241,1,19,24,23,25,23,241,1,19,25,0,25,24
217,1,128,6,19,24,23,7,18,128,6,19,18,25,25,32
218,1,235,6,19,-1,-1,32,25,235,6,19,18,25,32,13
219,35,200,6,19,-1,18,23,19,242,4,19,19,23,18,0
220,15,224,5,18,18,25,18,32,224,5,19,0,25,0,23
221,19,135,0,19,18,32,18,13,223,2,19,25,0,4,16
222,1,56,4,18,29,25,25,23,56,4,18,29,25,25,25
223,1,238,6,19,-1,-1,32,25,238,6,19,0,25,0,32
224,24,155,6,19,32,18,0,32,42,0,19,25,32,18,23
225,14,196,5,19,25,30,18,18,196,5,19,32,1,32,32
226,1,18,4,16,32,4,25,13,18,-1,4,18,32,16,25
227,15,196,4,19,18,20,18,32,197,5,19,32,25,23,20
228,1,208,6,19,18,18,25,19,208,6,19,19,25,23,18
229,14,196,6,19,18,23,18,32,196,5,19,20,15,0,32
230,1,82,6,19,25,7,25,20,82,6,19,20,25,0,0
231,0,166,4,19,25,23,21,13,166,3,19,18,32,15,25
232,39,166,4,19,25,23,21,13,166,3,19,18,32,15,25
233,0,166,3,19,18,32,15,25,166,3,19,0,23,18,18
234,39,166,3,19,18,32,15,25,166,3,19,0,23,18,18
235,15,77,5,19,20,25,7,19,77,5,19,18,7,18,18
236,15,219,6,19,18,7,18,13,219,5,19,18,23,18,32
237,1,155,6,19,-1,23,32,25,155,6,19,20,25,32,25
238,21,73,3,19,-1,-1,18,15,209,0,19,4,16,18,25
239,1,57,3,19,0,32,18,18,57,3,19,32,26,18,18
240,22,200,6,19,25,18,25,19,200,6,19,18,25,32,25
241,35,200,6,19,18,25,32,25,242,4,19,32,1,18,7
242,22,200,6,19,19,25,0,0,200,6,19,0,25,18,7
243,35,200,6,19,20,25,23,19,242,4,19,19,23,18,32
244,14,196,6,19,-1,23,0,32,196,4,19,25,20,32,31
245,1,51,5,19,18,32,23,18,51,5,19,0,32,-1,-1
246,0,166,3,19,19,18,18,18,166,0,19,3,0,18,7
247,39,166,3,19,19,18,18,18,166,0,19,3,0,18,7
248,0,166,3,19,32,23,19,7,166,3,19,19,23,18,15
249,39,166,3,19,32,23,19,7,166,3,19,19,23,18,15
250,1,100,4,18,23,21,32,25,100,4,18,20,21,25,13
251,22,244,4,19,32,25,0,0,243,4,19,25,0,23,18
252,22,91,5,19,18,25,25,19,90,5,19,19,25,18,3
253,1,51,5,19,-1,25,0,31,51,5,19,32,6,18,18
254,1,51,5,19,-1,25,0,31,51,5,19,32,6,18,18
255,1,129,6,19,18,25,23,10,129,6,19,32,32,23,19
256,17,44,5,32,18,25,18,25,45,5,25,25,18,18,25
257,1,129,6,19,25,32,32,18,129,6,19,25,0,0,32
258,18,50,5,19,20,23,32,1,232,6,19,25,3,18,7
259,1,148,2,19,18,20,18,23,148,2,19,18,25,18,18
260,0,166,3,19,16,7,18,0,166,3,19,25,25,10,18
261,39,166,3,19,16,7,18,0,166,3,19,25,25,10,18
262,0,166,3,19,25,25,10,18,166,3,19,25,32,7,18
263,39,166,3,19,25,25,10,18,166,3,19,25,32,7,18
264,0,166,3,19,25,32,0,29,166,3,19,10,16,10,18
265,39,166,3,19,25,32,0,29,166,3,19,10,16,10,18
266,22,104,5,19,25,23,32,25,104,5,19,32,25,4,18
267,1,263,2,19,0,25,18,18,263,6,18,32,25,32,18
268,1,263,6,18,32,25,32,18,263,6,19,25,30,13,18
269,1,100,4,18,18,21,18,18,100,4,18,18,21,18,18
270,15,38,5,18,32,23,18,18,38,5,18,25,32,18,21
271,15,72,5,19,-1,20,13,18,72,5,19,23,20,0,32
272,15,72,5,19,18,25,3,18,72,5,19,18,25,32,1
273,15,72,5,19,20,25,23,18,72,5,19,32,25,3,18
274,14,196,6,19,25,3,18,19,196,6,19,18,3,18,32
275,14,196,6,19,-1,25,18,19,196,6,19,25,0,32,19
276,0,166,3,19,25,25,18,25,166,3,19,18,25,18,25
277,39,166,3,19,25,25,18,25,166,3,19,18,25,18,25
278,0,166,3,19,18,25,18,25,166,3,19,25,23,13,18
279,39,166,3,19,18,25,18,25,166,3,19,25,23,13,18
280,1,33,3,19,32,23,18,18,33,3,19,25,23,18,18
281,22,116,5,18,18,32,6,18,116,5,19,20,25,0,18
282,22,116,5,19,20,25,0,18,116,5,18,32,1,10,16
283,18,170,5,19,-1,19,18,3,190,6,19,3,18,23,13
284,1,28,4,10,25,23,10,18,28,4,10,25,23,10,18
285,37,261,5,19,0,23,32,25,260,6,19,25,32,18,4
286,1,123,6,19,25,25,32,25,123,6,19,25,25,32,25
287,1,240,1,19,-1,-1,23,32,240,1,19,15,25,0,32
288,18,50,5,19,18,25,18,19,232,6,19,19,18,32,25
289,18,50,5,19,32,1,18,18,232,6,19,0,25,18,3
290,18,50,5,19,20,25,32,18,232,6,19,18,25,23,4
291,1,232,6,19,23,23,32,0,232,6,19,18,32,23,19
292,1,232,6,19,18,32,23,19,232,6,19,32,20,25,23
293,1,51,5,19,0,30,18,18,51,5,19,24,32,18,18
294,2,64,5,19,-1,-1,13,18,64,5,18,18,3,18,18
295,1,156,6,19,-1,-1,32,25,156,6,19,25,25,23,18
296,1,156,6,19,25,25,25,24,156,6,19,25,25,32,6
297,1,156,6,19,-1,-1,7,18,156,6,19,25,25,32,25
298,1,156,6,19,25,25,32,25,156,6,19,25,25,25,25
299,1,156,6,19,25,25,25,25,156,6,19,25,25,25,25
300,1,156,6,19,-1,-1,25,25,156,6,19,25,25,25,24
301,1,156,6,19,25,25,25,24,156,6,19,10,16,30,18
302,1,156,6,19,10,16,30,18,156,6,19,25,25,25,25
303,39,0,4,19,25,20,21,18,0,4,19,23,20,32,13
304,1,70,5,19,24,30,0,32,70,5,19,0,25,0,32
305,1,70,5,19,18,23,7,18,70,5,19,32,32,7,10
306,1,70,5,19,32,32,7,10,70,5,19,20,25,0,0
307,1,70,5,19,20,25,0,0,70,5,19,18,25,0,32
308,1,67,5,19,-1,23,7,18,67,5,19,18,25,0,32
309,16,31,5,19,25,30,32,13,31,5,19,18,25,23,19
310,15,247,6,19,18,18,7,18,247,6,19,15,25,0,0
311,1,246,6,19,29,25,19,20,246,6,19,20,25,19,18
312,14,196,5,19,15,25,18,0,196,5,19,32,32,7,18
313,1,33,3,19,21,3,18,10,33,3,19,13,32,18,32
314,1,163,6,16,18,4,25,11,163,6,16,32,4,25,0
315,1,33,3,19,21,3,18,10,33,3,19,13,32,18,32
316,1,155,6,19,25,25,32,24,155,6,19,0,25,32,29
317,1,163,6,16,18,4,25,11,163,6,16,32,4,25,0
318,1,100,4,18,20,21,25,23,100,4,18,20,21,6,0
319,1,100,4,18,20,21,6,0,100,4,18,20,21,13,18
320,1,100,4,18,20,21,25,0,100,4,18,18,21,7,18
321,14,196,5,19,0,23,18,18,196,4,19,0,23,4,18
322,14,196,6,19,25,25,18,18,196,4,19,0,25,4,18
323,1,46,5,19,20,23,32,25,46,5,19,20,25,13,18
324,16,31,5,19,32,23,18,32,31,5,19,20,25,3,19
325,31,134,2,19,23,19,7,18,58,0,19,25,32,18,32
326,1,55,4,18,25,25,18,18,55,4,18,23,25,18,18
327,1,100,4,18,6,21,18,18,100,4,18,25,21,0,32
328,1,140,5,18,32,19,32,18,140,5,18,32,19,0,32
329,0,166,3,19,25,23,18,3,166,3,19,25,23,18,23
330,39,166,3,19,25,23,18,3,166,3,19,25,23,18,23
331,1,40,5,18,18,25,32,23,40,5,18,25,25,18,18
332,14,196,6,19,-1,0,0,32,196,5,19,32,32,18,25
333,14,196,5,19,32,25,18,0,196,5,19,15,25,0,23
334,15,21,5,19,20,25,0,0,22,5,19,18,25,18,19
335,1,119,6,19,13,18,32,32,119,6,19,25,25,32,25
336,0,166,3,19,32,1,18,25,166,3,19,18,25,18,25
337,39,166,3,19,32,1,18,25,166,3,19,18,25,18,25
338,2,64,5,19,32,32,18,20,64,5,19,25,32,18,20
339,1,215,6,19,13,18,32,18,215,6,19,18,25,32,25
340,1,73,3,19,18,0,32,18,73,3,19,20,32,18,-1
341,15,132,5,19,25,25,32,18,132,5,19,0,30,0,9
342,1,202,6,19,-1,-1,7,18,202,6,19,0,25,0,32
343,1,202,6,19,18,25,18,7,202,6,19,0,25,18,0
344,1,57,3,19,6,20,18,18,57,3,19,25,23,18,15
345,1,157,6,19,-1,-1,30,4,157,6,19,18,7,0,32
346,1,157,6,19,18,7,0,32,157,6,19,18,7,32,18
347,22,221,6,19,18,25,30,19,220,6,19,19,30,18,32
348,0,166,3,19,-1,-1,30,18,166,3,19,18,25,10,18
349,39,166,3,19,-1,-1,30,18,166,3,19,18,25,10,18
350,0,166,3,19,18,25,10,18,166,3,19,10,32,10,18
351,39,166,3,19,18,25,10,18,166,3,19,10,32,10,18
352,14,196,6,19,-1,-1,23,18,196,6,19,0,32,18,32
353,14,196,5,19,-1,-1,18,18,196,5,19,18,3,0,4
354,14,196,6,19,32,25,23,18,196,5,19,25,20,0,32
355,14,196,5,19,25,20,0,32,196,5,19,25,32,13,18
356,14,196,6,19,-1,-1,18,0,196,4,19,0,32,32,18
357,14,196,6,19,18,18,20,23,196,6,19,20,15,23,19
358,0,166,3,19,18,32,18,25,166,3,19,18,25,18,25
359,39,166,3,19,18,32,18,25,166,3,19,18,25,18,25
360,0,166,3,19,-1,-1,18,25,166,3,19,18,25,18,25
361,39,166,3,19,-1,-1,18,25,166,3,19,18,25,18,25
362,1,100,4,18,20,21,32,18,100,4,18,25,21,18,18
363,1,100,4,18,20,21,18,7,100,4,18,32,21,32,18
364,1,100,4,18,7,21,18,25,100,4,18,20,21,7,18
365,26,97,5,19,18,3,23,20,90,5,19,32,6,23,19
366,16,31,5,19,15,3,7,18,31,5,19,32,23,32,13
367,14,196,6,19,0,32,25,23,196,6,19,23,0,32,1
368,1,155,6,19,25,0,0,0,155,6,19,0,30,27,-1
369,14,196,5,19,32,1,23,25,196,6,19,24,23,18,15
370,14,196,6,19,0,23,18,18,196,5,19,0,32,3,19
371,14,196,5,19,0,23,18,32,196,5,19,18,25,7,18
372,14,196,6,19,-1,0,18,0,196,5,19,24,30,18,17
373,14,196,5,19,29,25,0,0,196,5,19,15,7,23,0
374,14,196,5,19,20,25,32,32,196,5,19,20,25,32,4
375,14,196,5,19,25,23,32,1,196,6,19,0,32,23,13
376,14,196,5,19,32,6,32,32,196,6,19,15,25,0,30
377,14,196,6,19,10,16,18,23,196,6,19,25,32,23,13
378,14,196,6,19,1,2,23,4,196,5,19,32,25,32,25
379,14,196,5,19,32,25,32,25,196,5,19,18,25,7,18
380,14,196,5,19,18,25,7,18,196,5,19,25,5,23,13
381,14,196,5,19,15,7,25,23,196,6,19,18,25,18,18
382,1,79,6,19,24,32,25,25,79,6,19,0,32,32,32
383,1,41,3,19,18,32,18,25,41,3,19,19,23,29,32
384,14,196,6,19,3,32,32,25,196,5,19,19,32,18,7
385,14,196,6,19,19,32,32,4,196,5,19,0,32,0,4
386,14,196,5,19,18,32,7,13,196,5,19,3,23,20,18
387,14,196,5,19,15,25,0,32,196,5,19,25,5,18,18
388,14,196,5,19,25,5,18,18,196,5,19,18,23,32,13
389,14,196,5,19,-1,-1,18,0,196,6,19,25,25,0,2
390,14,196,6,19,25,25,0,2,196,5,19,15,25,7,18
391,14,196,5,19,19,23,0,32,196,6,19,32,25,32,6
392,14,196,6,19,19,25,32,25,196,5,19,25,0,20,0
393,14,196,5,19,19,25,23,18,196,6,19,0,32,23,32
394,1,28,4,10,25,23,10,18,28,4,10,30,23,20,15
395,1,119,6,19,-1,-1,32,25,119,6,18,18,25,0,32
396,26,97,5,19,18,25,0,19,90,5,19,18,0,23,19
397,15,86,5,18,-1,0,0,23,86,5,18,15,25,0,32
398,1,155,6,19,18,18,32,24,155,6,19,0,32,32,19
399,1,155,6,19,18,25,32,19,155,6,19,0,32,32,0
400,1,230,4,18,23,20,3,20,230,4,18,3,20,0,32
401,1,100,4,18,20,21,18,25,100,4,18,24,21,18,32
402,1,18,4,16,32,4,25,13,18,-1,16,30,4,25,32
403,1,73,3,19,0,32,18,32,73,3,19,20,32,18,-1
404,31,134,2,19,23,19,7,18,58,0,19,25,32,18,32
405,1,20,5,19,32,13,18,7,20,5,19,25,5,18,20
406,0,166,3,19,20,23,18,7,166,3,19,32,32,25,32
407,39,166,3,19,20,23,18,7,166,3,19,32,32,25,32
408,0,166,3,19,32,32,25,32,166,3,19,9,32,18,7
409,39,166,3,19,32,32,25,32,166,3,19,9,32,18,7
410,32,86,5,18,20,25,32,18,143,5,19,16,25,4,16
411,1,162,3,19,18,25,25,18,162,3,19,32,19,18,25
412,1,118,2,19,32,1,18,18,118,2,19,32,1,18,18
413,1,230,4,18,23,20,25,19,230,4,18,23,20,32,4
414,1,14,4,16,32,4,3,4,14,4,19,3,4,4,16
415,10,204,5,21,-1,-1,23,20,53,4,19,32,25,25,25
416,1,213,4,0,-1,20,25,19,213,4,32,23,20,25,19
417,15,86,5,18,18,23,32,6,86,5,18,18,32,32,24
418,32,86,5,18,-1,-1,0,32,143,5,19,15,25,3,19
419,15,86,5,18,0,30,23,32,86,5,18,0,25,19,19
420,16,31,5,19,-1,-1,25,32,31,5,19,0,32,18,18
421,1,51,5,19,32,6,25,0,51,5,19,0,32,7,10
422,1,51,5,19,32,23,7,18,51,5,19,32,23,6,18
423,1,133,2,19,18,23,18,15,133,2,19,25,0,18,0
424,1,51,5,19,0,30,23,32,51,5,19,25,0,0,32
425,1,13,5,19,19,25,25,25,141,5,19,32,32,19,7
426,16,31,5,19,-1,-1,18,32,31,5,19,25,20,18,18
427,16,31,5,19,-1,23,18,7,31,5,19,18,25,7,13
